transactionid,homeid,buyerid,sellerid,employeeid,date,amount,transactiontype
292,94,590,55,13,12/23/21,4532691,Sale
293,20,182,750,86,6/12/22,1934255,Sale
294,15,338,162,81,2/18/22,2276484,Sale
295,81,999,975,34,10/23/20,292071,Sale
296,72,696,678,31,5/30/21,243431,Sale
297,26,895,150,58,9/12/21,1060067,Rent
298,3,400,419,15,11/16/21,102572,Sale
299,96,779,579,80,11/2/20,1710663,Rent
300,19,438,474,33,8/8/20,1317925,Rent
301,32,946,531,2,4/19/22,2886223,Sale
302,1,405,373,7,10/20/21,4326526,Sale
303,50,209,890,60,6/12/21,3550321,Sale
304,50,541,631,95,3/31/22,2425736,Rent
305,67,180,469,57,4/13/21,339551,Sale
306,7,535,747,61,12/21/21,2960912,Sale
307,55,479,607,97,12/1/21,2857725,Sale
308,44,687,555,67,7/27/21,4611490,Sale
309,20,131,335,61,5/10/22,4060274,Sale
310,85,869,812,63,11/21/22,3505763,Sale
311,28,397,619,99,1/23/20,4101788,Sale
312,65,312,624,90,12/9/22,553925,Rent
313,68,99,201,42,5/25/20,3756142,Sale
314,100,136,345,74,1/16/21,4732949,Rent
315,48,719,706,60,3/30/21,2642881,Sale
316,35,983,514,70,10/12/21,703547,Sale
317,10,568,74,85,2/1/20,1357938,Sale
318,16,158,453,51,12/27/21,3324368,Rent
319,46,925,911,2,3/19/21,4741740,Sale
320,28,353,289,57,9/19/21,1908890,Sale
321,77,51,510,47,12/5/21,608656,Sale
322,7,742,931,47,10/2/22,337722,Sale
323,46,983,724,12,7/30/20,3229849,Sale
324,78,4,817,16,8/21/20,2174675,Sale
325,3,838,960,37,5/30/20,3383696,Sale
326,47,2,93,38,11/1/20,1799712,Sale
327,71,136,932,65,7/6/20,2366203,Sale
328,37,475,204,59,5/31/20,3738559,Sale
329,79,170,927,7,5/7/22,2653095,Sale
330,60,32,307,76,7/9/22,930949,Sale
331,78,601,404,10,5/13/21,4611701,Rent
332,68,394,637,29,3/17/20,4008768,Sale
333,47,401,259,7,4/9/21,4304097,Rent
334,67,475,685,41,3/13/21,1316019,Rent
335,62,438,665,91,6/2/21,3038379,Sale
336,44,528,658,84,8/10/21,1982624,Rent
337,45,795,210,13,4/29/22,2332495,Sale
338,11,483,200,43,10/14/20,3316247,Sale
339,10,130,123,60,1/16/20,3122922,Sale
340,10,442,465,83,7/1/21,3022875,Rent
341,42,751,140,94,4/30/21,3404741,Sale
342,70,61,900,14,11/7/22,4096868,Rent
343,37,406,780,7,9/12/21,2460602,Sale
344,90,779,885,41,11/17/21,3231831,Rent
345,26,178,685,25,1/22/22,3205980,Sale
346,35,87,468,89,9/16/21,3492111,Sale
347,96,941,268,36,1/21/22,4508919,Sale
348,2,171,825,15,11/10/22,980069,Rent
349,68,127,123,68,7/20/20,4918983,Rent
350,55,406,560,66,3/31/21,4951257,Rent
351,20,736,335,2,3/19/20,4433270,Sale
352,68,887,679,3,6/9/20,3042143,Sale
353,7,394,932,45,8/1/22,828587,Sale
354,41,874,885,4,3/15/20,1512076,Sale
355,19,247,378,31,2/14/20,943014,Rent
356,36,867,384,43,12/5/20,2498402,Sale
357,81,3,354,35,3/30/22,3433094,Sale
358,6,444,638,22,1/6/21,3192445,Sale
359,89,278,79,13,3/13/22,501892,Rent
360,69,886,367,99,6/12/22,1830891,Sale
361,6,893,618,75,12/5/22,2306426,Sale
362,65,949,68,71,9/23/22,602255,Sale
363,47,576,274,59,5/13/20,359332,Sale
364,81,535,916,26,11/21/22,362606,Sale
365,90,90,654,48,6/30/20,364005,Sale
366,71,772,54,8,8/11/22,4616360,Rent
367,32,697,468,76,2/14/22,4533082,Rent
368,27,232,468,92,1/16/21,1028613,Rent
369,22,172,480,59,5/28/20,4197010,Sale
370,20,705,52,53,12/3/20,4082562,Sale
371,18,452,864,33,11/17/22,4682233,Sale
372,33,668,931,16,12/16/20,3464171,Rent
373,54,852,534,88,2/19/20,3975165,Sale
374,14,288,631,46,7/6/22,1597273,Sale
375,46,500,93,54,9/15/20,2210968,Sale
376,70,475,93,9,11/9/22,1197037,Sale
377,44,80,900,67,12/21/22,825759,Sale
378,76,431,317,23,6/16/20,2749701,Sale
379,42,399,996,62,4/4/20,2590936,Sale
380,21,18,465,13,12/7/21,3437201,Sale
381,32,203,879,41,6/16/22,124317,Rent
382,86,503,619,47,4/14/21,2127871,Sale
383,60,973,531,46,4/30/20,1380169,Rent
384,9,535,199,2,1/30/22,2134516,Rent
385,33,545,849,55,5/22/20,92106,Sale
386,33,590,573,89,2/6/20,2859049,Rent
387,56,444,195,34,9/13/21,1185089,Sale
388,20,459,465,70,7/15/21,1814907,Sale
389,9,526,384,97,8/28/21,1559433,Sale
390,13,552,48,2,8/12/21,723561,Sale
391,7,951,664,77,6/8/20,635150,Sale
392,1,51,560,76,5/17/21,2195277,Sale
393,54,535,237,26,9/8/21,4097054,Sale
394,38,121,104,26,1/23/22,4556134,Sale
395,91,866,348,91,7/10/21,3142023,Sale
396,19,725,477,24,12/17/21,2361593,Rent
397,82,854,450,2,1/21/20,1426029,Rent
398,6,905,301,69,11/18/20,1102820,Sale
399,63,31,710,70,8/18/21,3503630,Sale
400,3,941,339,85,7/23/22,3452752,Rent
401,71,671,876,17,4/20/20,4676920,Sale
402,56,70,189,46,2/15/20,437438,Sale
403,14,797,100,28,3/7/20,4878851,Sale
404,97,312,879,13,8/6/21,3210622,Sale
405,33,136,966,64,5/28/21,3886519,Sale
406,60,845,422,23,9/23/20,720601,Sale
407,54,278,306,62,1/29/20,4437249,Sale
408,95,131,67,46,11/26/21,554183,Sale
409,56,260,273,34,8/11/20,2295599,Sale
410,17,544,876,44,1/29/21,4825756,Sale
411,96,209,965,52,8/22/20,4369598,Sale
412,92,886,652,15,1/21/22,3279533,Rent
413,44,182,140,46,9/20/22,2896441,Rent
414,60,483,817,19,3/28/22,1845306,Rent
415,86,260,745,34,6/11/20,1961204,Sale
416,28,297,585,85,7/20/21,4651099,Sale
417,74,565,584,22,8/25/20,4864365,Rent
418,1,711,647,5,10/3/21,1039976,Rent
419,82,486,76,95,1/25/22,4704768,Sale
420,88,472,344,31,11/21/20,2891486,Rent
421,10,232,259,30,4/9/21,665021,Rent
422,33,768,125,98,11/26/21,1662575,Sale
423,93,896,608,49,5/23/20,385130,Rent
424,88,697,200,78,7/18/20,3843080,Sale
425,48,431,670,41,6/11/20,2579673,Rent
426,36,314,965,64,8/31/20,4800643,Sale
427,43,401,695,96,1/26/20,1318692,Sale
428,23,164,710,53,9/17/22,4539656,Rent
429,59,414,256,98,10/10/22,822387,Rent
430,28,416,873,83,8/12/20,3381960,Sale
431,48,276,724,91,6/26/22,3110544,Sale
432,25,500,344,60,12/18/21,3523808,Sale
433,94,82,904,73,3/23/22,3926775,Sale
434,92,462,313,78,3/2/20,3452098,Sale
435,96,321,785,24,12/31/20,2928677,Rent
436,89,782,41,90,4/29/21,1158346,Sale
437,5,359,57,36,2/3/21,4820235,Sale
438,89,356,23,36,6/5/20,1356516,Sale
439,79,461,665,31,7/16/22,3742433,Rent
440,35,947,195,43,3/31/21,3675780,Sale
441,5,902,115,13,2/23/21,2002153,Sale
442,98,572,41,33,3/1/21,4456942,Rent
443,84,886,833,17,12/4/21,3316270,Sale
444,14,431,819,85,8/18/22,2723755,Sale
445,62,121,259,92,5/13/21,4805613,Sale
446,39,290,274,55,9/10/21,3508057,Sale
447,93,310,785,55,7/25/22,813528,Sale
448,94,786,187,22,2/27/21,2579711,Rent
449,90,680,571,55,5/2/20,4746508,Rent
450,2,552,670,72,2/6/20,4369952,Sale
451,5,254,584,23,2/16/22,2690571,Sale
452,58,698,813,51,2/12/22,1047387,Rent
453,79,736,93,64,3/16/20,803199,Sale
454,41,109,805,75,11/13/20,104718,Rent
455,81,767,863,6,2/12/21,572647,Sale
456,7,314,539,5,3/23/21,3202396,Sale
457,30,987,926,4,7/13/22,1111989,Sale
458,73,89,91,39,5/15/22,2623296,Sale
459,58,751,909,31,2/26/22,3839385,Rent
460,4,388,50,70,3/4/22,2658841,Rent
461,1,173,79,16,3/3/21,1672810,Rent
462,82,452,339,6,9/30/22,2086537,Sale
463,33,158,336,49,7/1/22,1109129,Rent
464,22,809,969,36,9/20/21,3275143,Sale
465,56,106,827,51,1/23/21,2335982,Rent
466,43,82,870,25,5/12/20,1202141,Sale
467,70,45,820,28,11/13/20,54011,Rent
468,79,170,872,94,8/23/20,2183294,Sale
469,47,793,532,46,12/2/20,934566,Rent
470,53,121,140,12,11/22/21,4730784,Sale
471,85,703,213,76,2/5/20,2901026,Rent
472,66,238,670,99,1/22/20,3838011,Sale
473,93,946,604,73,6/17/22,3594520,Sale
474,85,414,873,14,7/20/21,3031607,Sale
475,74,107,256,94,10/22/22,2886511,Sale
476,71,951,115,31,8/15/22,1171391,Rent
477,61,634,153,34,1/22/21,3256951,Sale
478,29,719,780,12,5/1/21,2220448,Sale
479,71,21,655,2,8/3/20,3441916,Rent
480,68,388,515,79,7/3/22,3421295,Sale
481,100,866,594,36,6/18/20,3800508,Sale
482,93,623,927,17,12/8/20,4686375,Sale
483,55,582,801,42,3/27/22,2488990,Rent
484,34,255,922,55,9/5/20,4517501,Sale
485,34,69,929,43,1/19/21,140126,Rent
486,40,321,996,70,8/16/21,568749,Rent
487,28,366,956,100,9/28/20,1771027,Sale
488,19,946,879,18,9/11/20,597323,Sale
489,77,493,218,53,10/14/20,2583474,Sale
490,93,164,631,33,2/2/22,3683785,Sale
491,2,451,937,70,12/8/21,3573554,Sale
492,66,215,313,72,4/13/22,2202043,Rent
493,63,772,264,80,11/13/22,1111470,Sale
494,11,478,419,20,9/5/22,2111709,Rent
495,32,815,562,23,4/26/22,597649,Sale
496,19,623,50,83,7/26/20,3327021,Sale
497,81,143,989,87,6/18/20,3700570,Sale
498,6,603,699,43,11/9/22,202718,Sale
499,53,180,969,20,11/11/21,2453786,Sale
500,79,656,630,45,3/3/21,1645492,Sale
501,98,240,510,4,4/8/21,3469727,Sale
502,71,352,904,76,12/25/22,479901,Rent
503,40,401,994,6,2/26/21,3466489,Sale
504,9,203,722,32,12/23/22,1108503,Rent
505,46,768,153,74,6/12/20,4698314,Sale
506,97,729,752,4,12/6/22,1288217,Sale
507,88,388,643,44,5/10/22,258758,Sale
508,33,486,612,92,3/28/21,953345,Rent
509,31,424,780,96,5/16/22,1157881,Sale
510,44,164,569,28,5/14/22,3137520,Rent
511,81,393,664,18,2/6/21,3356025,Sale
512,3,62,441,7,4/26/22,2138060,Sale
513,26,193,204,88,4/20/20,2221822,Sale
514,84,727,994,49,7/14/22,1300926,Sale
515,81,809,88,53,3/17/22,362598,Rent
516,97,401,241,18,7/6/21,1882795,Rent
517,53,736,372,74,3/17/22,1945715,Sale
518,18,333,911,63,12/11/20,3663407,Sale
519,58,356,574,65,7/17/21,696022,Sale
520,9,648,829,69,9/6/21,364491,Sale
521,42,284,104,10,9/21/20,2645536,Sale
522,26,671,72,26,4/20/21,3890662,Sale
523,86,6,598,88,10/27/20,1361200,Rent
524,1,39,91,47,2/12/21,1370030,Rent
525,94,749,764,26,12/23/20,3784011,Rent
526,31,444,162,46,3/18/22,3220471,Sale
527,17,934,191,91,1/16/20,353092,Sale
528,64,668,72,21,6/4/20,1519083,Sale
529,61,603,150,87,6/28/22,3412396,Rent
530,48,582,34,58,11/23/21,2307812,Rent
531,75,284,477,71,10/23/22,2127258,Sale
532,38,997,864,17,6/14/22,2971831,Sale
533,61,912,688,62,3/30/20,3524981,Sale
534,32,846,100,27,11/23/20,945304,Sale
535,98,36,115,88,8/30/22,660877,Sale
536,14,895,142,89,5/21/20,4016376,Sale
537,13,500,813,93,1/15/22,3325634,Sale
538,52,483,371,94,12/23/20,759050,Sale
539,18,959,477,58,2/24/20,1225448,Sale
540,60,433,732,76,12/11/21,1187345,Rent
541,56,247,855,72,12/15/20,1931131,Sale
542,25,739,142,73,3/5/22,2485130,Sale
543,76,809,498,53,5/3/22,932664,Sale
544,79,10,367,31,10/15/21,220469,Rent
545,20,887,129,11,3/26/22,1409546,Rent
546,95,300,413,44,1/1/20,1142443,Sale
547,55,383,191,15,7/4/21,3590936,Sale
548,41,394,93,29,11/22/22,2512738,Sale
549,12,577,585,95,6/16/21,3347778,Sale
550,28,164,217,51,8/21/20,4507615,Sale
551,30,787,357,18,10/22/21,4463772,Sale
552,98,381,641,2,3/7/22,524228,Sale
553,89,319,740,72,12/31/22,4003556,Rent
554,76,406,525,97,11/24/22,4344625,Sale
555,10,888,645,7,1/10/21,728578,Sale
556,21,893,404,52,8/1/21,581915,Sale
557,86,671,196,90,7/20/21,4093841,Sale
558,28,545,801,91,5/12/20,3265712,Sale
559,26,742,515,19,9/5/21,323538,Sale
560,25,577,965,97,2/27/20,3041920,Sale
561,78,310,268,55,7/24/22,3938610,Sale
562,96,659,990,87,8/26/21,3710527,Sale
563,29,386,806,81,4/25/22,1801841,Sale
564,86,502,885,89,5/9/20,4859770,Rent
565,86,640,837,12,11/3/20,3590789,Sale
566,8,728,531,62,1/24/21,3102973,Sale
567,60,37,647,67,3/7/22,2947916,Sale
568,14,10,688,63,11/5/20,3341525,Sale
569,78,993,57,25,5/18/20,2548717,Rent
570,61,172,280,63,7/18/21,4071204,Rent
571,55,462,652,79,1/22/21,2113266,Sale
572,41,386,34,91,3/22/21,3651809,Sale
573,71,913,217,6,12/16/21,367047,Sale
574,74,592,812,39,1/20/20,728738,Rent
575,38,843,468,9,7/13/20,778539,Sale
576,52,763,929,82,9/5/20,3411481,Rent
577,92,886,345,60,12/21/21,3467663,Rent
578,79,7,900,34,5/21/20,2613585,Rent
579,36,698,167,61,6/6/20,719844,Sale
580,23,394,664,71,12/5/22,67325,Sale
581,3,513,829,35,10/25/22,2937187,Sale
582,70,501,806,12,12/19/22,2610949,Sale
583,15,687,883,8,4/19/21,4291253,Sale
584,28,235,991,91,10/31/20,1491802,Sale
585,29,113,259,76,7/4/22,947649,Sale
